,trackID,nodeID,numGenes,log2(numGenes)
0,t1,n1,42,5.392317422778761
1,t1,n2,64,6.0
2,t1,n3,54,5.754887502163468
3,t1,n4,31,4.954196310386875
4,t1,n5,3,1.584962500721156
5,t1,n6,6,2.584962500721156
6,t1,n7,6,2.584962500721156
7,t2,n1,13,3.700439718141092
8,t2,n2,17,4.087462841250339
9,t2,n3,3,1.584962500721156
10,t3,n1,13,3.700439718141092
11,t3,n2,11,3.4594316186372973
