gene_name,B.freq,LB.freq,LP.freq,P.freq,alleleFreqSUM
ABCA1,0.2720348204570185,0.6311207834602829,0.01958650707290533,0.07725788900979326,1.0
ABCG8,0.23011363636363635,0.5738636363636364,0.06818181818181818,0.1278409090909091,0.9999999999999999
ACVRL1,0.11380145278450363,0.23123486682808717,0.2033898305084746,0.4515738498789346,1.0
ADA2,0.12716763005780346,0.43352601156069365,0.08959537572254335,0.34971098265895956,1.0
ALG8,0.3397129186602871,0.41148325358851673,0.09569377990430622,0.15311004784688995,1.0
ALPL,0.08670520231213873,0.43159922928709055,0.27167630057803466,0.21001926782273603,0.9999999999999999
ANKS6,0.19784172661870503,0.5971223021582733,0.039568345323741004,0.16546762589928057,0.9999999999999999
ATP6V1B1,0.09647495361781076,0.6901669758812616,0.07050092764378478,0.14285714285714285,1.0
ATP7B,0.0431924882629108,0.4812206572769953,0.21830985915492956,0.25727699530516435,1.0
BAAT,0.3118279569892473,0.26881720430107525,0.021505376344086023,0.3978494623655914,0.9999999999999999
BRCA1,0.10207963479584073,0.3238650773522698,0.05858483388283033,0.5154704539690591,1.0
BRCA2,0.08251953125,0.36640625,0.0623046875,0.48876953125,1.0
BRIP1,0.042488619119878605,0.552731411229135,0.13125948406676782,0.2735204855842185,0.9999999999999999
BTK,0.09655172413793103,0.24551724137931036,0.12689655172413794,0.5310344827586206,1.0
C3,0.2361963190184049,0.6825153374233128,0.03680981595092025,0.04447852760736196,0.9999999999999999
CD40LG,0.08673469387755102,0.18877551020408162,0.09693877551020408,0.6275510204081632,1.0
CD46,0.25842696629213485,0.43258426966292135,0.10674157303370786,0.20224719101123595,1.0
CDAN1,0.21794871794871795,0.6089743589743589,0.05448717948717949,0.11858974358974358,1.0
CDIN1,0.4588235294117647,0.29411764705882354,0.03529411764705882,0.21176470588235294,1.0
CEP164,0.09773371104815864,0.71671388101983,0.0708215297450425,0.11473087818696884,1.0
CEP83,0.15331010452961671,0.6933797909407665,0.017421602787456445,0.13588850174216027,0.9999999999999999
CFB,0.19555555555555557,0.7688888888888888,0.008888888888888889,0.02666666666666667,0.9999999999999999
CFH,0.18036529680365296,0.593607305936073,0.0867579908675799,0.13926940639269406,1.0
CFHR1,0.6086956521739131,0.14130434782608695,0.043478260869565216,0.20652173913043478,1.0
CFHR3,0.38961038961038963,0.33766233766233766,0.025974025974025976,0.24675324675324675,1.0
CFI,0.2210144927536232,0.5217391304347826,0.08695652173913043,0.17028985507246377,0.9999999999999999
CLCN7,0.18,0.6493333333333333,0.052,0.11866666666666667,1.0
COG1,0.21890547263681592,0.6467661691542289,0.029850746268656716,0.1044776119402985,1.0
COL3A1,0.08612919379068602,0.4656985478217326,0.17376064096144217,0.27441161742613923,1.0
COL4A1,0.19372077488309952,0.5277221108884436,0.12358049432197729,0.15497661990647962,1.0
COL7A1,0.03236409608091024,0.7319848293299621,0.07256637168141593,0.16308470290771176,1.0
COQ2,0.14042553191489363,0.5914893617021276,0.08085106382978724,0.18723404255319148,1.0
CP,0.20689655172413793,0.5270935960591133,0.08538587848932677,0.180623973727422,1.0
CTC1,0.10946745562130178,0.6804733727810651,0.051775147928994084,0.15828402366863906,1.0
DCDC2,0.3072289156626506,0.4819277108433735,0.07228915662650602,0.13855421686746988,1.0
DDX41,0.11470588235294117,0.5058823529411764,0.10882352941176471,0.27058823529411763,1.0
DKC1,0.07156673114119923,0.48549323017408125,0.03481624758220503,0.4081237911025145,1.0
DNAJC21,0.08056872037914692,0.6255924170616114,0.06635071090047394,0.22748815165876776,1.0
ELANE,0.2054380664652568,0.43202416918429004,0.14501510574018128,0.2175226586102719,1.0
ENG,0.08105872622001654,0.38626964433416044,0.10421836228287841,0.4284532671629446,1.0
EPB42,0.3,0.3875,0.1125,0.2,1.0
ERCC4,0.1875,0.6141304347826086,0.059782608695652176,0.13858695652173914,1.0
ETV6,0.21721311475409835,0.47950819672131145,0.09836065573770492,0.20491803278688525,1.0
F8,0.04293193717277487,0.07329842931937172,0.22722513089005236,0.6565445026178011,1.0
F9,0.06637168141592921,0.2713864306784661,0.12684365781710916,0.5353982300884956,1.0
FAH,0.11442006269592477,0.5329153605015674,0.1755485893416928,0.17711598746081506,1.0
FAM111A,0.31386861313868614,0.5547445255474452,0.06569343065693431,0.06569343065693431,1.0
FANCA,0.0692031982354563,0.555004135649297,0.11855527984560242,0.2572373862696443,1.0
FANCB,0.1366223908918406,0.48956356736242884,0.024667931688804556,0.349146110056926,1.0
FANCC,0.06155218554861731,0.584299732381802,0.1543264942016057,0.19982158786797502,1.0
FANCD2,0.13517786561264822,0.5715415019762846,0.1241106719367589,0.1691699604743083,1.0
FANCE,0.07090464547677261,0.6919315403422983,0.12469437652811736,0.11246943765281174,0.9999999999999999
FANCF,0.11386138613861387,0.5297029702970297,0.12376237623762376,0.23267326732673269,1.0
FANCG,0.03648648648648649,0.5864864864864865,0.13378378378378378,0.24324324324324326,1.0
FANCI,0.10848708487084871,0.6509225092250922,0.11512915129151291,0.12546125461254612,0.9999999999999999
FANCL,0.10855949895615867,0.5991649269311065,0.1315240083507307,0.16075156576200417,1.0
FARS2,0.15789473684210525,0.48753462603878117,0.0997229916897507,0.2548476454293629,1.0
FMO3,0.1,0.38,0.135,0.385,1.0
FOXP3,0.12324929971988796,0.2857142857142857,0.0700280112044818,0.5210084033613446,1.0
G6PC1,0.07637231503579953,0.4797136038186158,0.1766109785202864,0.26730310262529833,1.0
G6PC3,0.056910569105691054,0.7235772357723578,0.036585365853658534,0.18292682926829268,1.0
GATA1,0.10818713450292397,0.24853801169590642,0.049707602339181284,0.5935672514619883,1.0
GBA1,0.03968253968253968,0.15079365079365079,0.36507936507936506,0.4444444444444444,1.0
GLA,0.042735042735042736,0.2264957264957265,0.20405982905982906,0.5267094017094017,1.0
GLIS2,0.25196850393700787,0.48031496062992124,0.0,0.2677165354330709,1.0
HAMP,0.09090909090909091,0.6233766233766234,0.025974025974025976,0.2597402597402597,1.0
HBA1,0.059880239520958084,0.17964071856287425,0.10179640718562874,0.6586826347305389,1.0
HBA2,0.055,0.18,0.11,0.655,1.0
HBB,0.02986217457886677,0.5964777947932619,0.06584992343032159,0.30781010719754975,1.0
HCFC1,0.21461538461538462,0.5846153846153846,0.005384615384615384,0.19538461538461538,1.0
HLA-DQA1,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.3076923076923077,1.0
HLA-DQB1,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.36363636363636365,1.0
