Cluster 2,Band 53,POLG2
Cluster 3,Band 0,CFH
Cluster 3,Band 1,CFI
Cluster 3,Band 2,COL3A1
Cluster 3,Band 3,CTC1
Cluster 3,Band 4,DKC1
Cluster 3,Band 5,DNAJC21
Cluster 3,Band 6,GBA1
Cluster 3,Band 7,HBB
Cluster 3,Band 8,IFIH1
Cluster 3,Band 9,LMBRD1
Cluster 3,Band 10,MMACHC
Cluster 3,Band 11,MTR
Cluster 3,Band 12,MTRR
Cluster 3,Band 13,NPHP1
Cluster 3,Band 14,PRDX1
Cluster 3,Band 15,RBM8A
Cluster 3,Band 16,RMRP
Cluster 3,Band 17,SAMD9
Cluster 3,Band 18,SLC37A4
Cluster 3,Band 19,SLC7A7
Cluster 3,Band 20,SMARCAL1
Cluster 3,Band 21,TGFB1
Cluster 3,Band 22,TINF2
Cluster 3,Band 23,TMEM67
Cluster 3,Band 24,TREX1
Cluster 3,Band 25,WDR19
Cluster 3,Band 26,MT-ATP6
Cluster 3,Band 27,MT-CO2
Cluster 3,Band 28,MT-CYB
Cluster 3,Band 29,MT-ND2
Cluster 3,Band 30,POLG
Cluster 4,Band 0,RPL15
Cluster 4,Band 1,RPL18
Cluster 4,Band 2,RPL35
Cluster 4,Band 3,RPL35A
Cluster 4,Band 4,RPS10
Cluster 4,Band 5,RPS15A
Cluster 4,Band 6,RPS17
Cluster 4,Band 7,RPS24
Cluster 4,Band 8,RPS26
Cluster 4,Band 9,RPS28
Cluster 4,Band 10,RPS29
Cluster 4,Band 11,RPS7
Cluster 4,Band 12,TSR2
Cluster 5,Band 0,C3
Cluster 5,Band 1,GBA1
Cluster 5,Band 2,SLC37A4
Cluster 5,Band 3,SMAD4
Cluster 5,Band 4,TERT
Cluster 5,Band 5,TREX1
Cluster 6,Band 0,RPL11
Cluster 6,Band 1,RPL15
Cluster 6,Band 2,RPL18
Cluster 6,Band 3,RPL26
Cluster 6,Band 4,RPL35
Cluster 6,Band 5,RPL35A
Cluster 6,Band 6,RPL5
Cluster 6,Band 7,RPS10
Cluster 6,Band 8,RPS15A
Cluster 6,Band 9,RPS17
Cluster 6,Band 10,RPS19
Cluster 6,Band 11,RPS24
Cluster 6,Band 12,RPS26
Cluster 6,Band 13,RPS28
Cluster 6,Band 14,RPS29
Cluster 6,Band 15,RPS7
Cluster 6,Band 16,TSR2
Cluster 7,Band 0,MT-ATP6
Cluster 7,Band 1,MT-CO1
Cluster 7,Band 2,MT-CO2
Cluster 8,Band 0,ADA2
Cluster 8,Band 1,GATA1
Cluster 8,Band 2,RPL26
Cluster 9,Band 0,BRIP1
Cluster 9,Band 1,FANCB
Cluster 9,Band 2,FANCF
Cluster 9,Band 3,FANCG
Cluster 9,Band 4,FANCI
Cluster 9,Band 5,FANCL
Cluster 9,Band 6,MAD2L2
Cluster 9,Band 7,RAD51
Cluster 9,Band 8,RAD51C
Cluster 9,Band 9,RFWD3
Cluster 9,Band 10,SLX4
Cluster 9,Band 11,UBE2T
Cluster 9,Band 12,XRCC2
Cluster 10,Band 0,MT-CO1
Cluster 10,Band 1,MT-CO3
Cluster 10,Band 2,MT-ND1
Cluster 10,Band 3,MT-ND4
Cluster 10,Band 4,MT-ND5
Cluster 10,Band 5,MT-ND6
Cluster 11,Band 0,BRCA1
Cluster 11,Band 1,BRCA2
Cluster 11,Band 2,ERCC4
Cluster 11,Band 3,FANCA
Cluster 11,Band 4,FANCB
Cluster 11,Band 5,FANCC
Cluster 11,Band 6,FANCD2
Cluster 11,Band 7,FANCE
Cluster 11,Band 8,PALB2
Cluster 11,Band 9,RAD51
Cluster 11,Band 10,RAD51C
